COG	Protein name	Pathway	Letter	Function
COG5831	Stage IV sporulation protein SpoIVA, required for spore cortex formation and coat assembly		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5832	Stage IV sporulation protein SpoIVB, serine protease, degrades SpoIIQ, SpoIVFA		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5832	Stage IV sporulation protein SpoIVB, serine protease, degrades SpoIIQ, SpoIVFA		O	Post-translational Modification, Protein Turnover, Chaperones
COG5833	Stage IV sporulation protein SpoIVFA, regulates SpoIVFB		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5834	Stage V sporulation protein SpoVAA, subunit of dipicolinate uptake complex		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5834	Stage V sporulation protein SpoVAA, subunit of dipicolinate uptake complex		E	Amino Acid Transport and Metabolism
COG5835	Stage V sporulation protein SpoVAB, subunit of dipicolinate uptake complex		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5835	Stage V sporulation protein SpoVAB, subunit of dipicolinate uptake complex		E	Amino Acid Transport and Metabolism
COG5836	Stage V sporulation protein SpoVAC, subunit of dipicolinate uptake complex		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5836	Stage V sporulation protein SpoVAC, subunit of dipicolinate uptake complex		E	Amino Acid Transport and Metabolism
COG5837	Stage V sporulation protein SpoVAD, subunit of dipicolinate uptake complex		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5837	Stage V sporulation protein SpoVAD, subunit of dipicolinate uptake complex		E	Amino Acid Transport and Metabolism
COG5838	Stage V sporulation protein SpoVAEA, mutants lead to the production of immature spores		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5839	Stage V sporulation protein SpoVAEB, subunit of dipicolinate uptake complex		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5839	Stage V sporulation protein SpoVAEB, subunit of dipicolinate uptake complex		E	Amino Acid Transport and Metabolism
COG5840	Stage V sporulation protein SpoVAF, subunit of dipicolinate uptake complex, GerA superfamily		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5840	Stage V sporulation protein SpoVAF, subunit of dipicolinate uptake complex, GerA superfamily		E	Amino Acid Transport and Metabolism
COG5841	Stage V sporulation protein SpoVB/SpoIIIF, required for spore cortex synthesis		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5842	Dipicolinate synthase subunit A (sporulation protein SpoVFA)		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5842	Dipicolinate synthase subunit A (sporulation protein SpoVFA)		E	Amino Acid Transport and Metabolism
COG5843	Dipicolinate synthase subunit B (sporulation protein SpoVFB)		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5843	Dipicolinate synthase subunit B (sporulation protein SpoVFB)		E	Amino Acid Transport and Metabolism
COG5844	Stage V sporulation protein SpoVM, required for spore cortex and coat synthesis		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5845	Stage V sporulation protein SpoVT, regulator of stationary/sporulation gene expression		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5845	Stage V sporulation protein SpoVT, regulator of stationary/sporulation gene expression		K	Transcription
COG5846	Stage VI sporulation protein SpoVID (LysM domain), required for assembly of the spore coat		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5847	Stage VI sporulation protein SpoVIF, required for heat resistance		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5848	SigmaK-processing regulatory protein BofA (Bypass-of-forespore protein A)		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5848	SigmaK-processing regulatory protein BofA (Bypass-of-forespore protein A)		T	Signal Transduction Mechanisms
COG5849	SigmaK checkpoint regulator BofC  (Bypass-of-forespore protein C)		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5849	SigmaK checkpoint regulator BofC  (Bypass-of-forespore protein C)		T	Signal Transduction Mechanisms
COG5850	Prespore-specific transcriptional regulator RsfA		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5850	Prespore-specific transcriptional regulator RsfA		K	Transcription
COG5851	Stage 0 sporulation inhibitor Sda, checkpoint for initiation of sporulation and replication		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5851	Stage 0 sporulation inhibitor Sda, checkpoint for initiation of sporulation and replication		L	Replication, Recombination and Repair
COG5852	Small acid-soluble spore protein SspA/SspB/SspC/SspD (alpha/beta-type)		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5853	Small acid-soluble spore protein SspE (gamma-type)		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5854	Small acid-soluble spore protein SspF (alpha/beta-type)		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5855	Small acid-soluble spore protein SspH/YfjU		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5856	Small acid-soluble spore protein SspI		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5857	Small acid-soluble spore protein SspK		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5858	Small acid-soluble spore protein SspL		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5859	Small acid-soluble spore protein SspN		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5860	Small acid-soluble spore protein SspO/CotK		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5861	Small acid-soluble spore protein SspP/CotL		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5862	Small acid-soluble spore protein CsgA		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5863	Small acid-soluble spore protein Tlp (thioredoxin-like protein)		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5864	Small acid-soluble spore protein SAS2, clostridial type		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5865	Forespore-specific anti-sigma-G factor CsfB/Gin		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5865	Forespore-specific anti-sigma-G factor CsfB/Gin		K	Transcription
COG5866	Sporulation-specific protease YabG		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5866	Sporulation-specific protease YabG		O	Post-translational Modification, Protein Turnover, Chaperones
COG5867	Anti-sigma-F factor Fin		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5867	Anti-sigma-F factor Fin		T	Signal Transduction Mechanisms
COG5868	Sporulation protein YabP		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5869	Spore cortex formation membrane protein YabQ		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5870	Uncharacterized sporulation protein YbaK, contains DUF2521 domain (not related to E. coli deacylase YbaK, COG2606)		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5870	Uncharacterized sporulation protein YbaK, contains DUF2521 domain (not related to E. coli deacylase YbaK, COG2606)		K	Transcription
COG5871	Spore cortex protein YqfC, YabP family		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5872	Stage IV sporulation protein YqfD		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5873	Uncharacterized sporulation protein YqzE		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5874	Uncharacterized sporulation protein YtxC		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5875	Uncharacterized sporulation protein YunB		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5876	Uncharacterized sporulation protein YozQ		S	Function Unknown
COG5877	Stand-alone amidase domain		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5878	Uncharacterized sporulation protein YyaC,contains DUF1256 domain		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5879	Spore coat protein CotD		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5880	Spore coat protein CotE		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5881	Spore coat protein CotI/CotS, protein kinase superfamily		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5882	Spore coat protein CotJA, required for the assembly of CotJC		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5883	Spore coat protein CotJB		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5884	Spore coat protein CotN/TasA		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5885	Spore coat protein CotO/YjbX		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5886	Spore coat protein CotV/CotX (outer spore coat)		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5887	Spore coat protein CotW (outer spore coat)		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5888	Spore coat protein CotY/CotZ (outer spore coat)		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5889	Spore coat protein GerQ/YwdL (inner spore coat)		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5890	Uncharacterized sporulation proteins YjcM and YhbB, contain C-terminal amidase domain		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5891	Spore coat protein YheC/YheD, ATP-grasp superfamily		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5892	Spore coat protein YlbD, FlgN family		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5893	Spore coat protein YmaG		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5894	Spore coat protein YppG		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5895	Uncharacterized sporulation protein YpzA, contains DUF2564 domain		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5896	Spore coat protein YraE/YraG		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5897	Spore coat protein YsxE, aminoglycoside phosphotransferase family		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5898	Spore coat protein YuzC (inner spore coat)		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5899	Spore coat protein YwqH		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5900	Spore coat protein YybI (inner spore coat)		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5901	Spore germination receptor GerABC, GerA subunit (L-alanine receptor)		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5902	Spore germination receptor GerABC, GerB subunit (amino acid transporter)		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5903	Spore germination receptor GerABC, GerC subunit		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5904	Spore germination receptor GerD		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5905	Spore transcriptional regulator GerE (stand-alone HTH domain)		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5905	Spore transcriptional regulator GerE (stand-alone HTH domain)		K	Transcription
COG5906	Spore germination protein GerPA/GerPF (inner spore coat)		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5907	Spore germination protein GerPB, DUF2539 family (inner spore coat)		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5908	Spore germination protein GerPC (inner spore coat)		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5909	Spore germination protein GerPD (inner spore coat)		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5910	Spore germination protein GerPE (inner spore coat)		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5911	Spore germination protease Gpr		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5912	Spore cortex protein CoxA (YrbB), YhcN/YlaJ family		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5914	Spore germination protein YpeB, HAD superfamily, activates cortex-lytic enzyme SleB		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5915	Transglutaminase		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5916	Uncharacterized sporulation protein YfkD		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5917	Uncharacterized sporulation protein YjbA, contains UPF0736/DUF3603 domain		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5918	Uncharacterized sporulation protein YmfJ, contains DUF3243 domain		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5919	Uncharacterized sporulation protein YodI		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5920	Uncharacterized sporulation protein YqfT, contains DUF2624 domain		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5921	Uncharacterized sporulation protein YqfX, contains DUF308 domain		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5922	Uncharacterized sporulation protein YqhG		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5923	Uncharacterized sporulation membrane protein YrzE, contains DUF3792 domain		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5924	Uncharacterized sporulation protein YtfI, contains DUF2953 domain		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5925	Uncharacterized sporulation membrane protein YtrH/SpoVIGA		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5926	Uncharacterized sporulation protein YtrI		D	Cell Cycle Control, Cell Division, Chromosome Partitioning
COG5930	CRISPR-Cas system type I-D effector complex large subunit Cas10d/Csc3, contains HD superfamily nuclease domain	CRISPR-Cas system	V	Defense Mechanisms
COG5931	CRISPR-Cas system type-V protein Cas12a	CRISPR-Cas system	V	Defense Mechanisms
COG5932	CRISPR-Cas type I-F system-associated endonuclease/helicase Cas3f, fused to Cas2 domain	CRISPR-Cas system	V	Defense Mechanisms
COG5933	CRISPR-Cas system type I-F effector complex subunit Cas5f/Csy2,  RAMP superfamily	CRISPR-Cas system	V	Defense Mechanisms
